publication,year_fy,published_date,effective_from,effective_to,zone_no,zone_name,nhh_tariff_floored_p_kwh
Final,2027,2026-01-30,2026-04-01,2027-04-01,1,Northern Scotland,0.0
Final,2027,2026-01-30,2026-04-01,2027-04-01,2,Southern Scotland,0.0
Final,2027,2026-01-30,2026-04-01,2027-04-01,3,Northern,0.0
Final,2027,2026-01-30,2026-04-01,2027-04-01,4,North West,0.0
Final,2027,2026-01-30,2026-04-01,2027-04-01,5,Yorkshire,0.0
Final,2027,2026-01-30,2026-04-01,2027-04-01,6,N Wales & Mersey,0.0
Final,2027,2026-01-30,2026-04-01,2027-04-01,7,East Midlands,0.0
Final,2027,2026-01-30,2026-04-01,2027-04-01,8,Midlands,0.358668
Final,2027,2026-01-30,2026-04-01,2027-04-01,9,Eastern,0.00914
Final,2027,2026-01-30,2026-04-01,2027-04-01,10,South Wales,0.739032
Final,2027,2026-01-30,2026-04-01,2027-04-01,11,South East,0.63342
Final,2027,2026-01-30,2026-04-01,2027-04-01,12,London,0.700677
Final,2027,2026-01-30,2026-04-01,2027-04-01,13,Southern,1.00812
Final,2027,2026-01-30,2026-04-01,2027-04-01,14,South Western,2.071095
Draft,2027,2025-12-19,2026-04-01,2027-04-01,1,Northern Scotland,0.0
Draft,2027,2025-12-19,2026-04-01,2027-04-01,2,Southern Scotland,0.0
Draft,2027,2025-12-19,2026-04-01,2027-04-01,3,Northern,0.0
Draft,2027,2025-12-19,2026-04-01,2027-04-01,4,North West,0.0
Draft,2027,2025-12-19,2026-04-01,2027-04-01,5,Yorkshire,0.0
Draft,2027,2025-12-19,2026-04-01,2027-04-01,6,N Wales & Mersey,0.0
Draft,2027,2025-12-19,2026-04-01,2027-04-01,7,East Midlands,0.0
Draft,2027,2025-12-19,2026-04-01,2027-04-01,8,Midlands,0.373749
Draft,2027,2025-12-19,2026-04-01,2027-04-01,9,Eastern,0.0
Draft,2027,2025-12-19,2026-04-01,2027-04-01,10,South Wales,0.741288
Draft,2027,2025-12-19,2026-04-01,2027-04-01,11,South East,0.624099
Draft,2027,2025-12-19,2026-04-01,2027-04-01,12,London,0.693301
Draft,2027,2025-12-19,2026-04-01,2027-04-01,13,Southern,1.005758
Draft,2027,2025-12-19,2026-04-01,2027-04-01,14,South Western,2.078149
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,1,Northern Scotland,0.0
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,2,Southern Scotland,0.0
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,3,Northern,0.0
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,4,North West,0.0
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,5,Yorkshire,0.0
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,6,N Wales & Mersey,0.0
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,7,East Midlands,0.0
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,8,Midlands,0.510019
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,9,Eastern,0.09312
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,10,South Wales,0.743938
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,11,South East,0.786991
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,12,London,0.762453
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,13,Southern,1.126374
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,14,South Western,2.026292
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,1,Northern Scotland,0.0
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,2,Southern Scotland,0.0
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,3,Northern,0.0
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,4,North West,0.0
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,5,Yorkshire,0.0
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,6,N Wales & Mersey,0.0
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,7,East Midlands,0.0
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,8,Midlands,0.504326
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,9,Eastern,0.13229
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,10,South Wales,1.190914
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,11,South East,0.881748
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,12,London,0.822716
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,13,Southern,1.13767
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,14,South Western,2.174083
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,1,Northern Scotland,0.0
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,2,Southern Scotland,0.0
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,3,Northern,0.0
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,4,North West,0.0
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,5,Yorkshire,0.0
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,6,N Wales & Mersey,0.0
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,7,East Midlands,0.0
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,8,Midlands,0.318604
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,9,Eastern,0.201097
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,10,South Wales,0.348328
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,11,South East,1.095356
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,12,London,0.907368
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,13,Southern,1.290088
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,14,South Western,1.651759
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,1,Northern Scotland,0.0
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,2,Southern Scotland,0.0
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,3,Northern,0.0
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,4,North West,0.0
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,5,Yorkshire,0.0
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,6,N Wales & Mersey,0.0
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,7,East Midlands,0.272941
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,8,Midlands,0.614644
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,9,Eastern,0.641888
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,10,South Wales,0.679325
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,11,South East,1.546169
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,12,London,1.239945
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,13,Southern,1.70121
