publication,year_fy,published_date,effective_from,effective_to,tariff_gbp_site_day
Final,2027,2026-01-30,2026-04-01,2027-04-01,0.222566
Draft,2027,2025-12-19,2026-04-01,2027-04-01,0.224259
Forecast,2027,2025-09-12,2026-04-01,2027-04-01,0.250081
Forecast,2028,2025-09-12,2027-04-01,2028-04-01,0.279046
Forecast,2029,2025-09-12,2028-04-01,2029-04-01,0.308099
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,0.3182
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,0.327714
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,0.169156
Final,2026,2025-01-31,2025-04-01,2026-04-01,0.135043
Draft,2026,2024-11-29,2025-04-01,2026-04-01,0.148704
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,0.135823
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,0.137691
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,0.139171
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,0.144861
Forecast,2029,2024-06-20,2028-04-01,2029-04-01,0.149774
Forecast,2030,2024-06-20,2029-04-01,2030-04-01,0.152012
Final,2025,2024-02-08,2024-04-01,2025-04-01,0.104586
Draft,2025,2023-12-12,2024-04-01,2025-04-01,0.098727
Forecast,2025,2023-07-31,2024-04-01,2025-04-01,0.12307
Final,2024,2023-02-14,2023-04-01,2024-04-01,0.119264
